Actual,Predicted
325497180.6742624,325495065.4345916
54945101.95080718,54922557.54757512
71791302.56634699,71806063.70871039
418903751.14534485,419371581.9915448
52613955.30152046,52629148.87139804
32131069.853020974,31987748.527233787
417832898.6271028,417830562.98556876
366693625.18221873,366706372.8795771
1133107841.7892933,1133905039.3217766
186159765.1028234,186157975.54787654
163208205.4156148,163210318.9934756
94765889.43584274,94763786.21352988
236628928.2260073,236707451.85841426
409300956.52259886,409212977.0499739
165555539.79986566,165551204.27821472
47397435.3987609,47406446.34353955
226866257.502104,226858450.43040055
361509162.5869702,361544415.4555652
771973602.9558489,771827220.6809424
361518419.0470991,361516382.3036669
1036655260.5644448,1037279320.0633786
234536850.080016,234554296.1567789
234714633.82761756,234655042.62596515
541124428.0087392,540892200.098803
372339527.9878044,372331425.1038301
203514815.839268,203193474.5557169
305461251.51567644,305323879.8385899
506297395.04982907,506283171.35714936
443741935.9364428,443744901.95622855
169144232.56440118,169141032.18005317
186425134.19903708,186505978.04102582
61411068.62573936,61407190.755580075
441634756.140575,441613588.88488257
625414598.0007888,625392484.2146158
121643017.70620692,121639499.68031459
248039641.9168216,248044298.23581183
204756057.94794467,204766012.55393833
190254692.61606625,190439362.2563821
196448747.7297344,196457594.1274862
127079675.9914798,127100639.33013038
418952858.90221953,417732224.5966778
116158894.06913067,116162421.79696546
350570120.2379672,350559010.8318563
292928901.6208775,293045804.87816393
958188849.0793376,962045347.1512764
154070051.1006707,154079369.8681899
601459127.8425114,601378705.9631755
227974014.5380008,227907554.72531506
209050275.68261763,208956371.08409798
850479137.9380944,850346985.373841
136325310.8944934,136326712.5276993
157881817.90635952,157884884.3364402
49514582.192372665,49519522.29523739
445358658.52373815,445381890.2691533
43304960.48324749,43275633.3457831
427851126.6495334,427839557.5697176
317600128.9156091,317593237.1198073
339449841.7078751,339510954.96209866
209765730.641161,209666106.99144244
762340465.2867862,762357599.7596099
369931962.9252605,369862856.4640858
259624245.82202104,259712288.0968909
151719440.3080407,151414098.22565076
445335085.4721536,445332438.63471603
342633182.9080065,342650331.68884486
304013434.27329475,304171012.56395346
482766382.4380849,483278516.88542116
461190351.99057865,461178481.8522593
192692492.00069997,192697685.69264534
213837221.54770404,213872924.8245403
642724094.3270837,642530222.3390385
344931420.0583686,344914723.863797
385451724.627128,385449645.06937975
195009521.1410209,195006150.2740172
307568781.611744,307646700.4399104
254560903.1686952,254561216.8986752
27325916.88055063,27406977.426237322
428483029.7352609,428496542.31041765
442649424.9326528,442656654.279738
191861165.04879844,191862385.6489237
378401667.6349719,378180978.4649574
407265478.10013664,407298573.75281787
1321444773.2422285,1322791088.2264993
319355235.2069343,319355870.7066489
91989826.64316152,91983760.24654397
391844234.893867,391909282.8686513
343050116.4132783,343055197.23180604
33207217.964490417,33232839.505718622
301149267.2239793,301032768.28573287
99613467.06894104,99620173.75063176
535682888.3139496,535638578.7497141
55853915.85971902,55860462.55307879
48081644.92607477,47714887.740456305
349517479.08002764,349588037.40711474
95846173.09516716,96328346.11873041
347703263.3140637,347695595.09871435
270485677.74673134,270472308.082307
401272811.3844793,401475816.6548314
159766490.4204201,159759599.3551961
1561412234.0455568,1562309478.4670062
345708530.27954006,345705118.9700054
290879369.93484294,290863172.71218395
302396663.09012765,302522594.3211139
457187729.6541765,457184712.79927874
211917404.8973846,211907393.79664424
309538799.2180573,309675301.25126326
227778643.52850488,227490789.86014003
187221800.3060597,187225201.66995853
223612196.01672027,223538443.60127938
127680527.6787768,127736857.05305155
